"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"ZKSCAN8","Lymphocyte","DEP","Wald ratio",1,-0.037,0.005,0.964,5.89e-12,NA,NA,NA,0.999993807
"KLC1","Lymphocyte","DEP","Wald ratio",1,0.029,0.005,1.03,8.12e-09,NA,NA,NA,0.999974077
"CCDC36","Lymphocyte","DEP","Wald ratio",1,0.023,0.005,1.023,5.73e-07,NA,NA,NA,0.997752021
"CCS","Lymphocyte","DEP","Wald ratio",1,0.012,0.002,1.012,7.29e-07,NA,NA,NA,0.27677367
"RERE","Lymphocyte","DEP","Wald ratio",1,-0.023,0.006,0.977,0.000101,NA,NA,NA,0.229391596
"MTHFD1","Lymphocyte","DEP","Wald ratio",1,0.014,0.004,1.014,0.00014,NA,NA,NA,0.392681076
"NT5DC2","Lymphocyte","DEP","Wald ratio",1,0.033,0.009,1.033,0.000181,NA,NA,NA,0.701414014
"TEC","Lymphocyte","DEP","Wald ratio",1,-0.034,0.01,0.966,0.000446,NA,NA,NA,0.515932997
"SAMD3","Lymphocyte","DEP","Wald ratio",1,0.006,0.002,1.006,0.000838,NA,NA,NA,0.397124495
"DMXL2","Lymphocyte","DEP","Wald ratio",1,0.013,0.004,1.014,0.000882,NA,NA,NA,0.14322767
"THEM6","Lymphocyte","DEP","Wald ratio",1,-0.025,0.008,0.975,0.00102,NA,NA,NA,0.017489861
"CAMK1D","Lymphocyte","DEP","Wald ratio",1,0.02,0.006,1.02,0.00109,NA,NA,NA,0.160614891
"ACSF3","Lymphocyte","DEP","Wald ratio",1,-0.031,0.01,0.969,0.00135,NA,NA,NA,0.124665937
"GRM8","Lymphocyte","DEP","Wald ratio",1,0.013,0.004,1.013,0.00158,NA,NA,NA,0.243784876
"GPR133","Lymphocyte","DEP","Wald ratio",1,0.017,0.006,1.017,0.00201,NA,NA,NA,0.209343518
"GSK3B","Lymphocyte","DEP","Wald ratio",1,-0.025,0.008,0.976,0.00202,NA,NA,NA,0.032094829
"DENND1A","Lymphocyte","DEP","Wald ratio",1,-0.015,0.005,0.985,0.00215,NA,NA,NA,0.036142105
"RNF157","Lymphocyte","DEP","Wald ratio",1,0.016,0.005,1.016,0.00251,NA,NA,NA,0.02941829
"DFNA5","Lymphocyte","DEP","Wald ratio",1,-0.015,0.005,0.985,0.0027,NA,NA,NA,0.21187852
"SLC1A1","Lymphocyte","DEP","Wald ratio",1,0.018,0.006,1.018,0.00427,NA,NA,NA,0.126434819
"PAX5","Lymphocyte","DEP","Wald ratio",1,0.022,0.008,1.023,0.00445,NA,NA,NA,0.109632565
"LAMA2","Lymphocyte","DEP","Wald ratio",1,0.019,0.007,1.019,0.00486,NA,NA,NA,0.066247313
"LDLRAP1","Lymphocyte","DEP","Wald ratio",1,0.019,0.007,1.019,0.00489,NA,NA,NA,0.002889831
"MAP3K2","Lymphocyte","DEP","Wald ratio",1,0.016,0.006,1.016,0.00511,NA,NA,NA,0.005322426
"ACA59","Lymphocyte","DEP","Wald ratio",1,0.005,0.002,1.005,0.00518,NA,NA,NA,0.000140984
"BMP8B","Lymphocyte","DEP","Wald ratio",1,-0.01,0.004,0.99,0.00616,NA,NA,NA,0.088830035
"ADK","Lymphocyte","DEP","Wald ratio",1,0.004,0.002,1.004,0.00896,NA,NA,NA,0.043723239
"PACSIN2","Lymphocyte","DEP","Wald ratio",1,0.01,0.004,1.01,0.0102,NA,NA,NA,0.056075018
"KB-1047C11.2","Lymphocyte","DEP","Wald ratio",1,0.016,0.006,1.017,0.0104,NA,NA,NA,0.051380809
"DTD1","Lymphocyte","DEP","Wald ratio",1,-0.014,0.005,0.986,0.0109,NA,NA,NA,0.015278958
"AHRR","Lymphocyte","DEP","Wald ratio",1,0.018,0.007,1.019,0.0112,NA,NA,NA,0.004031694
"TRIM47","Lymphocyte","DEP","Wald ratio",1,0.01,0.004,1.01,0.0121,NA,NA,NA,0.055276252
"MCOLN2","Lymphocyte","DEP","Wald ratio",1,0.014,0.005,1.014,0.0128,NA,NA,NA,0.046458783
"SPG20","Lymphocyte","DEP","Wald ratio",1,-0.013,0.005,0.988,0.0144,NA,NA,NA,0.000661322
"UCK2","Lymphocyte","DEP","Wald ratio",1,-0.012,0.005,0.988,0.015,NA,NA,NA,0.040536266
"AC069368.3","Lymphocyte","DEP","Wald ratio",1,0.007,0.003,1.007,0.0156,NA,NA,NA,0.011540819
"MSH6","Lymphocyte","DEP","Wald ratio",1,0.016,0.007,1.016,0.0164,NA,NA,NA,0.042550626
"INSIG2","Lymphocyte","DEP","Wald ratio",1,0.014,0.006,1.015,0.017,NA,NA,NA,0.002967472
"ITGAE","Lymphocyte","DEP","Wald ratio",1,-0.02,0.008,0.98,0.0177,NA,NA,NA,0.034455557
"CTA-373H7.7","Lymphocyte","DEP","Wald ratio",1,0.019,0.008,1.019,0.0191,NA,NA,NA,0.00815801
"SRCRB4D","Lymphocyte","DEP","Wald ratio",1,-0.007,0.003,0.993,0.02,NA,NA,NA,4.11e-05
"GPATCH2L","Lymphocyte","DEP","Wald ratio",1,-0.012,0.005,0.988,0.0208,NA,NA,NA,2.44e-05
"MTA3","Lymphocyte","DEP","Wald ratio",1,-0.007,0.003,0.993,0.0208,NA,NA,NA,0.026500778
"UBOX5","Lymphocyte","DEP","Wald ratio",1,-0.013,0.006,0.987,0.0212,NA,NA,NA,0.000476538
"ZPBP2","Lymphocyte","DEP","Wald ratio",1,-0.013,0.006,0.987,0.0227,NA,NA,NA,0.025299599
"FMNL2","Lymphocyte","DEP","Wald ratio",1,0.012,0.005,1.012,0.023,NA,NA,NA,0.002679296
"AC068610.5","Lymphocyte","DEP","Wald ratio",1,0.008,0.004,1.008,0.0306,NA,NA,NA,6.81e-05
"ANKRD44","Lymphocyte","DEP","Wald ratio",1,0.018,0.009,1.018,0.0367,NA,NA,NA,0.019341678
"ENPP7","Lymphocyte","DEP","Wald ratio",1,-0.005,0.003,0.995,0.0369,NA,NA,NA,0.019868168
"ADCY3","Lymphocyte","DEP","Wald ratio",1,-0.014,0.007,0.986,0.0385,NA,NA,NA,0.016043361
"ENO4","Lymphocyte","DEP","Wald ratio",1,-0.013,0.006,0.987,0.039,NA,NA,NA,0.002882892
"HSPA4","Lymphocyte","DEP","Wald ratio",1,0.012,0.006,1.012,0.0393,NA,NA,NA,0.012801784
"ZNF257","Lymphocyte","DEP","Wald ratio",1,-0.015,0.007,0.986,0.0421,NA,NA,NA,0.01230316
"SPTBN1","Lymphocyte","DEP","Wald ratio",1,0.018,0.009,1.019,0.0434,NA,NA,NA,0.018838183
"AL162853.1","Lymphocyte","DEP","Wald ratio",1,0.009,0.004,1.009,0.048,NA,NA,NA,0.000105685
"CACNA1E","Lymphocyte","DEP","Wald ratio",1,-0.005,0.003,0.995,0.0506,NA,NA,NA,0.014624279
"GNA12","Lymphocyte","DEP","Wald ratio",1,-0.008,0.004,0.992,0.0555,NA,NA,NA,0.000237313
"LITAF","Lymphocyte","DEP","Wald ratio",1,0.009,0.005,1.009,0.0563,NA,NA,NA,0.013406199
"ZMIZ2","Lymphocyte","DEP","Wald ratio",1,0.01,0.005,1.01,0.0565,NA,NA,NA,0.013047205
"PDIA6","Lymphocyte","DEP","Wald ratio",1,-0.011,0.006,0.989,0.0577,NA,NA,NA,0.005839995
"PKHD1L1","Lymphocyte","DEP","Wald ratio",1,0.009,0.005,1.009,0.0592,NA,NA,NA,0.005002877
"PSMC3","Lymphocyte","DEP","Wald ratio",1,0.009,0.005,1.009,0.0612,NA,NA,NA,0.00054589
"ARHGAP26","Lymphocyte","DEP","Wald ratio",1,0.009,0.005,1.009,0.0624,NA,NA,NA,0.012323956
"CYP4F9P","Lymphocyte","DEP","Wald ratio",1,0.014,0.008,1.014,0.0633,NA,NA,NA,2.36e-06
"FAM189A1","Lymphocyte","DEP","Wald ratio",1,0.01,0.005,1.01,0.0638,NA,NA,NA,5.59e-05
"CTD-3094K11.1","Lymphocyte","DEP","Wald ratio",1,0.007,0.004,1.007,0.0646,NA,NA,NA,0.002403716
"PPP4R2","Lymphocyte","DEP","Wald ratio",1,0.015,0.008,1.015,0.0662,NA,NA,NA,0.011024302
"CNTNAP2","Lymphocyte","DEP","Wald ratio",1,0.005,0.003,1.005,0.0673,NA,NA,NA,0.011432428
"C21orf58","Lymphocyte","DEP","Wald ratio",1,-0.007,0.004,0.993,0.0678,NA,NA,NA,0.012024694
"OVOL1","Lymphocyte","DEP","Wald ratio",1,-0.004,0.002,0.996,0.069,NA,NA,NA,0.011186359
"NAGK","Lymphocyte","DEP","Wald ratio",1,0.01,0.006,1.01,0.0693,NA,NA,NA,0.015353407
"KNTC1","Lymphocyte","DEP","Wald ratio",1,0.007,0.004,1.007,0.0719,NA,NA,NA,0.00220778
"CIZ1","Lymphocyte","DEP","Wald ratio",1,0.012,0.006,1.012,0.0719,NA,NA,NA,0.000837227
"RP11-212I21.2","Lymphocyte","DEP","Wald ratio",1,-0.006,0.003,0.994,0.0744,NA,NA,NA,0.012356572
"MYO1D","Lymphocyte","DEP","Wald ratio",1,0.009,0.005,1.009,0.0801,NA,NA,NA,2.08e-06
"ACCS","Lymphocyte","DEP","Wald ratio",1,-0.012,0.007,0.988,0.0832,NA,NA,NA,0.011613825
"RPS10-NUDT3","Lymphocyte","DEP","Wald ratio",1,-0.013,0.008,0.987,0.088,NA,NA,NA,0.003340288
"ANKRD33B","Lymphocyte","DEP","Wald ratio",1,-0.02,0.012,0.98,0.0896,NA,NA,NA,0.008994245
"CREB3L2","Lymphocyte","DEP","Wald ratio",1,-0.012,0.007,0.988,0.0928,NA,NA,NA,0.001420366
"RBFOX3","Lymphocyte","DEP","Wald ratio",1,0.006,0.004,1.006,0.0956,NA,NA,NA,0.009521158
"SLC2A9","Lymphocyte","DEP","Wald ratio",1,0.008,0.005,1.008,0.0956,NA,NA,NA,0.008934221
"RGPD8","Lymphocyte","DEP","Wald ratio",1,-0.004,0.002,0.996,0.0956,NA,NA,NA,7.32e-06
"ADAMTSL3","Lymphocyte","DEP","Wald ratio",1,-0.009,0.005,0.991,0.102,NA,NA,NA,0.000287152
"DOCK8","Lymphocyte","DEP","Wald ratio",1,0.006,0.003,1.006,0.106,NA,NA,NA,9.83e-05
"DTX3L","Lymphocyte","DEP","Wald ratio",1,-0.013,0.008,0.988,0.106,NA,NA,NA,0.00947813
"RP5-940F7.2","Lymphocyte","DEP","Wald ratio",1,0.007,0.004,1.007,0.108,NA,NA,NA,0.008591102
"LLGL2","Lymphocyte","DEP","Wald ratio",1,0.008,0.005,1.008,0.11,NA,NA,NA,0.008020308
"RP11-329N22.1","Lymphocyte","DEP","Wald ratio",1,0.011,0.007,1.011,0.11,NA,NA,NA,0.002124242
"TRBJ2-1","Lymphocyte","DEP","Wald ratio",1,-0.009,0.006,0.991,0.113,NA,NA,NA,1.49e-05
"WDR91","Lymphocyte","DEP","Wald ratio",1,0.013,0.008,1.013,0.113,NA,NA,NA,0.008327548
"TCEB1P28","Lymphocyte","DEP","Wald ratio",1,0.014,0.009,1.014,0.116,NA,NA,NA,0.001345512
"DTNB","Lymphocyte","DEP","Wald ratio",1,-0.007,0.004,0.993,0.116,NA,NA,NA,0.008342506
"GLYAT","Lymphocyte","DEP","Wald ratio",1,0.006,0.004,1.006,0.117,NA,NA,NA,0.007461291
"KCNA6","Lymphocyte","DEP","Wald ratio",1,0.005,0.003,1.005,0.117,NA,NA,NA,5.73e-06
"ZNF155","Lymphocyte","DEP","Wald ratio",1,-0.004,0.003,0.996,0.12,NA,NA,NA,0.000251239
"EP400","Lymphocyte","DEP","Wald ratio",1,0.016,0.01,1.016,0.122,NA,NA,NA,0.00898413
"CTD-3088G3.8","Lymphocyte","DEP","Wald ratio",1,-0.007,0.005,0.993,0.124,NA,NA,NA,6.57e-06
"TBC1D4","Lymphocyte","DEP","Wald ratio",1,-0.006,0.004,0.994,0.128,NA,NA,NA,0.006403818
"SH3PXD2A","Lymphocyte","DEP","Wald ratio",1,0.009,0.006,1.009,0.131,NA,NA,NA,0.006689282
"TRIO","Lymphocyte","DEP","Wald ratio",1,-0.01,0.007,0.99,0.134,NA,NA,NA,0.007573012
"DAPK1","Lymphocyte","DEP","Wald ratio",1,-0.007,0.005,0.993,0.136,NA,NA,NA,0.007067688
"PIGL","Lymphocyte","DEP","Wald ratio",1,-0.007,0.005,0.993,0.137,NA,NA,NA,0.001375756
"ZNF254","Lymphocyte","DEP","Wald ratio",1,0.004,0.003,1.004,0.14,NA,NA,NA,0.009263147
"VAMP1","Lymphocyte","DEP","Wald ratio",1,-0.013,0.009,0.987,0.145,NA,NA,NA,0.003852698
"TAF1D","Lymphocyte","DEP","Wald ratio",1,-0.005,0.004,0.995,0.146,NA,NA,NA,0.00625216
"CMC2","Lymphocyte","DEP","Wald ratio",1,0.02,0.013,1.02,0.148,NA,NA,NA,0.008028781
"KIAA1217","Lymphocyte","DEP","Wald ratio",1,0.007,0.005,1.007,0.159,NA,NA,NA,0.005328495
"RASSF2","Lymphocyte","DEP","Wald ratio",1,-0.008,0.005,0.992,0.159,NA,NA,NA,0.005897853
"LY86","Lymphocyte","DEP","Wald ratio",1,-0.005,0.004,0.995,0.16,NA,NA,NA,0.006207667
"GFOD1","Lymphocyte","DEP","Wald ratio",1,-0.012,0.009,0.988,0.165,NA,NA,NA,0.004825195
"RNASEH1-AS1","Lymphocyte","DEP","Wald ratio",1,-0.008,0.006,0.992,0.169,NA,NA,NA,0.01347291
"ZNF83","Lymphocyte","DEP","Wald ratio",1,0.016,0.012,1.016,0.172,NA,NA,NA,0.002709373
"INTS8","Lymphocyte","DEP","Wald ratio",1,-0.016,0.011,0.985,0.175,NA,NA,NA,0.00290187
"RP11-179A10.1","Lymphocyte","DEP","Wald ratio",1,-0.006,0.004,0.994,0.176,NA,NA,NA,0.001268915
"KCNQ1","Lymphocyte","DEP","Wald ratio",1,0.01,0.007,1.01,0.177,NA,NA,NA,0.00073916
"FKBP2","Lymphocyte","DEP","Wald ratio",1,0.007,0.005,1.007,0.177,NA,NA,NA,0.00469022
"WDR25","Lymphocyte","DEP","Wald ratio",1,-0.012,0.009,0.988,0.178,NA,NA,NA,0.006022912
"RBM33","Lymphocyte","DEP","Wald ratio",1,0.006,0.005,1.007,0.178,NA,NA,NA,0.006745627
"SNX29","Lymphocyte","DEP","Wald ratio",1,0.009,0.007,1.009,0.179,NA,NA,NA,0.002193872
"PTPN14","Lymphocyte","DEP","Wald ratio",1,0.008,0.006,1.008,0.179,NA,NA,NA,3.84e-05
"MYO5A","Lymphocyte","DEP","Wald ratio",1,0.007,0.005,1.007,0.182,NA,NA,NA,0.00682673
"ISPD","Lymphocyte","DEP","Wald ratio",1,0.005,0.003,1.005,0.184,NA,NA,NA,1.28e-05
"APBB2","Lymphocyte","DEP","Wald ratio",1,-0.004,0.003,0.996,0.185,NA,NA,NA,0.004475842
"PIEZO2","Lymphocyte","DEP","Wald ratio",1,-0.004,0.003,0.996,0.185,NA,NA,NA,0.005146178
"TCP11L1","Lymphocyte","DEP","Wald ratio",1,-0.011,0.008,0.99,0.187,NA,NA,NA,0.000663264
"IL2RB","Lymphocyte","DEP","Wald ratio",1,0.007,0.005,1.007,0.189,NA,NA,NA,0.005293368
"ZDHHC14","Lymphocyte","DEP","Wald ratio",1,0.009,0.007,1.009,0.193,NA,NA,NA,0.004479378
"RP11-701P16.5","Lymphocyte","DEP","Wald ratio",1,0.02,0.016,1.021,0.194,NA,NA,NA,1.35e-06
"GNG2","Lymphocyte","DEP","Wald ratio",1,-0.013,0.01,0.987,0.195,NA,NA,NA,0.002336257
"GLCCI1","Lymphocyte","DEP","Wald ratio",1,0.014,0.011,1.014,0.195,NA,NA,NA,0.001787732
"MAP6","Lymphocyte","DEP","Wald ratio",1,0.005,0.004,1.005,0.203,NA,NA,NA,0.004917554
"IQSEC1","Lymphocyte","DEP","Wald ratio",1,0.009,0.007,1.009,0.206,NA,NA,NA,0.005852149
"C2orf76","Lymphocyte","DEP","Wald ratio",1,-0.003,0.003,0.997,0.207,NA,NA,NA,0.000316715
"LINC00271","Lymphocyte","DEP","Wald ratio",1,0.006,0.005,1.006,0.207,NA,NA,NA,9.68e-05
"SPINT2","Lymphocyte","DEP","Wald ratio",1,0.008,0.007,1.008,0.208,NA,NA,NA,0.002989734
"RNU6-927P","Lymphocyte","DEP","Wald ratio",1,0.009,0.008,1.01,0.209,NA,NA,NA,0.002877332
"SPTLC2","Lymphocyte","DEP","Wald ratio",1,0.005,0.004,1.005,0.209,NA,NA,NA,0.004705304
"TTC39C","Lymphocyte","DEP","Wald ratio",1,0.004,0.004,1.004,0.21,NA,NA,NA,3.59e-05
"CHST3","Lymphocyte","DEP","Wald ratio",1,-0.005,0.004,0.995,0.211,NA,NA,NA,0.004779312
"NCALD","Lymphocyte","DEP","Wald ratio",1,0.007,0.006,1.007,0.211,NA,NA,NA,0.000934554
"PMS2CL","Lymphocyte","DEP","Wald ratio",1,-0.009,0.008,0.991,0.217,NA,NA,NA,0.000384178
"FRMD4A","Lymphocyte","DEP","Wald ratio",1,-0.006,0.005,0.994,0.22,NA,NA,NA,1.47e-05
"CNR2","Lymphocyte","DEP","Wald ratio",1,0.005,0.004,1.005,0.225,NA,NA,NA,0.0002664
"SND1","Lymphocyte","DEP","Wald ratio",1,-0.012,0.01,0.988,0.228,NA,NA,NA,0.003336586
"LL22NC03-30E12.13","Lymphocyte","DEP","Wald ratio",1,-0.007,0.005,0.993,0.228,NA,NA,NA,0.004521292
"AC064834.2","Lymphocyte","DEP","Wald ratio",1,-0.009,0.007,0.991,0.23,NA,NA,NA,0.00091458
"FAM53A","Lymphocyte","DEP","Wald ratio",1,0.009,0.007,1.009,0.24,NA,NA,NA,0.000151096
"PIK3R6","Lymphocyte","DEP","Wald ratio",1,-0.011,0.009,0.989,0.24,NA,NA,NA,0.004556563
"CIITA","Lymphocyte","DEP","Wald ratio",1,0.006,0.006,1.007,0.241,NA,NA,NA,7.49e-05
"CLTCL1","Lymphocyte","DEP","Wald ratio",1,-0.007,0.006,0.993,0.244,NA,NA,NA,6.34e-05
"PTPRA","Lymphocyte","DEP","Wald ratio",1,0.005,0.004,1.005,0.245,NA,NA,NA,0.00417225
"PTGIR","Lymphocyte","DEP","Wald ratio",1,-0.011,0.009,0.989,0.246,NA,NA,NA,0.004285945
"NIPAL2","Lymphocyte","DEP","Wald ratio",1,0.005,0.005,1.005,0.247,NA,NA,NA,0.000131732
"IQCB1","Lymphocyte","DEP","Wald ratio",1,-0.006,0.006,0.994,0.248,NA,NA,NA,0.002796348
"SAMSN1","Lymphocyte","DEP","Wald ratio",1,-0.004,0.004,0.996,0.248,NA,NA,NA,0.004365004
"C9orf69","Lymphocyte","DEP","Wald ratio",1,-0.013,0.011,0.987,0.248,NA,NA,NA,0.0029554
"SAA1","Lymphocyte","DEP","Wald ratio",1,0.008,0.007,1.008,0.254,NA,NA,NA,1.16e-06
"RNU6-1224P","Lymphocyte","DEP","Wald ratio",1,-0.008,0.007,0.992,0.254,NA,NA,NA,0.004096373
"SYNGR1","Lymphocyte","DEP","Wald ratio",1,-0.005,0.004,0.995,0.255,NA,NA,NA,0.003653699
"AC007969.5","Lymphocyte","DEP","Wald ratio",1,-0.006,0.005,0.994,0.255,NA,NA,NA,0.002099105
"SPATA20","Lymphocyte","DEP","Wald ratio",1,-0.007,0.006,0.993,0.257,NA,NA,NA,0.000437069
"AGO3","Lymphocyte","DEP","Wald ratio",1,0.005,0.005,1.005,0.258,NA,NA,NA,0.000675438
"ELMO1","Lymphocyte","DEP","Wald ratio",1,-0.004,0.004,0.996,0.262,NA,NA,NA,0.000130331
"YEATS4","Lymphocyte","DEP","Wald ratio",1,0.01,0.009,1.01,0.264,NA,NA,NA,0.0039899
"FAM3C","Lymphocyte","DEP","Wald ratio",1,0.006,0.005,1.006,0.264,NA,NA,NA,0.000106788
"CTD-2247C11.1","Lymphocyte","DEP","Wald ratio",1,0.01,0.009,1.01,0.265,NA,NA,NA,0.01190716
"SLC23A2","Lymphocyte","DEP","Wald ratio",1,0.005,0.004,1.005,0.267,NA,NA,NA,0.000121813
"CFLAR","Lymphocyte","DEP","Wald ratio",1,-0.009,0.008,0.991,0.267,NA,NA,NA,5.85e-07
"NEU4","Lymphocyte","DEP","Wald ratio",1,0.006,0.006,1.006,0.268,NA,NA,NA,0.00423203
"RPS16","Lymphocyte","DEP","Wald ratio",1,0.004,0.003,1.004,0.268,NA,NA,NA,7.23e-06
"DEAF1","Lymphocyte","DEP","Wald ratio",1,0.006,0.005,1.006,0.269,NA,NA,NA,0.004307736
"FAM193A","Lymphocyte","DEP","Wald ratio",1,0.007,0.006,1.007,0.27,NA,NA,NA,0.002801931
"ARHGEF19","Lymphocyte","DEP","Wald ratio",1,-0.008,0.007,0.992,0.27,NA,NA,NA,0.003551132
"RP11-157N3.1","Lymphocyte","DEP","Wald ratio",1,0.004,0.003,1.004,0.281,NA,NA,NA,4.24e-05
"PLEC","Lymphocyte","DEP","Wald ratio",1,0.008,0.008,1.008,0.285,NA,NA,NA,0.003304151
"PYGB","Lymphocyte","DEP","Wald ratio",1,0.008,0.008,1.008,0.295,NA,NA,NA,0.001226825
"ZNHIT6","Lymphocyte","DEP","Wald ratio",1,-0.008,0.008,0.992,0.295,NA,NA,NA,0.001369798
"CCDC146","Lymphocyte","DEP","Wald ratio",1,-0.005,0.005,0.995,0.296,NA,NA,NA,0.002462792
"GALNT2","Lymphocyte","DEP","Wald ratio",1,0.011,0.01,1.011,0.296,NA,NA,NA,2.57e-06
"INPP5B","Lymphocyte","DEP","Wald ratio",1,-0.004,0.004,0.996,0.298,NA,NA,NA,0.004108747
"CLEC16A","Lymphocyte","DEP","Wald ratio",1,-0.007,0.006,0.993,0.299,NA,NA,NA,0.002879458
"SH3TC1","Lymphocyte","DEP","Wald ratio",1,-0.009,0.009,0.991,0.303,NA,NA,NA,0.005438357
"RNU6-1337P","Lymphocyte","DEP","Wald ratio",1,-0.005,0.005,0.995,0.306,NA,NA,NA,0.00361428
"SUZ12P","Lymphocyte","DEP","Wald ratio",1,0.006,0.006,1.006,0.317,NA,NA,NA,4.19e-05
"RAMP1","Lymphocyte","DEP","Wald ratio",1,-0.006,0.006,0.994,0.317,NA,NA,NA,0.003612334
"FBXO10","Lymphocyte","DEP","Wald ratio",1,0.006,0.006,1.006,0.317,NA,NA,NA,0.000895636
"PYROXD2","Lymphocyte","DEP","Wald ratio",1,0.009,0.009,1.009,0.317,NA,NA,NA,0.000599018
"IDI1","Lymphocyte","DEP","Wald ratio",1,0.004,0.004,1.004,0.317,NA,NA,NA,0.003529844
"SH3RF3","Lymphocyte","DEP","Wald ratio",1,-0.005,0.005,0.995,0.317,NA,NA,NA,6.08e-05
"RBM47","Lymphocyte","DEP","Wald ratio",1,0.004,0.005,1.004,0.326,NA,NA,NA,1.03e-05
"GUCY1A3","Lymphocyte","DEP","Wald ratio",1,-0.006,0.006,0.994,0.327,NA,NA,NA,9.06e-05
"DUSP16","Lymphocyte","DEP","Wald ratio",1,0.007,0.007,1.007,0.327,NA,NA,NA,0.003843123
"RALB","Lymphocyte","DEP","Wald ratio",1,-0.004,0.004,0.996,0.332,NA,NA,NA,0.001643696
"SERPINB10","Lymphocyte","DEP","Wald ratio",1,0.008,0.009,1.009,0.336,NA,NA,NA,0.001506841
"ZDHHC7","Lymphocyte","DEP","Wald ratio",1,0.003,0.004,1.003,0.339,NA,NA,NA,0.002488892
"RN7SKP122","Lymphocyte","DEP","Wald ratio",1,-0.009,0.009,0.991,0.34,NA,NA,NA,4.58e-07
"DCPS","Lymphocyte","DEP","Wald ratio",1,-0.005,0.006,0.995,0.34,NA,NA,NA,0.003286317
"COTL1","Lymphocyte","DEP","Wald ratio",1,0.003,0.004,1.003,0.349,NA,NA,NA,0.003708595
"PLXNC1","Lymphocyte","DEP","Wald ratio",1,0.01,0.011,1.01,0.349,NA,NA,NA,1.07e-06
"B4GALT1","Lymphocyte","DEP","Wald ratio",1,0.006,0.006,1.006,0.35,NA,NA,NA,0.003545825
"GALC","Lymphocyte","DEP","Wald ratio",1,-0.009,0.009,0.991,0.351,NA,NA,NA,0.000344027
"TRAJ9","Lymphocyte","DEP","Wald ratio",1,0.008,0.008,1.008,0.351,NA,NA,NA,0.000990905
"AP3S2","Lymphocyte","DEP","Wald ratio",1,-0.006,0.007,0.994,0.352,NA,NA,NA,0.000298686
"ZC2HC1A","Lymphocyte","DEP","Wald ratio",1,0.003,0.003,1.003,0.358,NA,NA,NA,7.64e-05
"RP11-434C1.1","Lymphocyte","DEP","Wald ratio",1,0.003,0.004,1.003,0.358,NA,NA,NA,8.72e-05
"BRF1","Lymphocyte","DEP","Wald ratio",1,-0.005,0.006,0.995,0.358,NA,NA,NA,0.003719148
"RNU6-131P","Lymphocyte","DEP","Wald ratio",1,0.005,0.006,1.005,0.36,NA,NA,NA,0.000467295
"VPS13C","Lymphocyte","DEP","Wald ratio",1,-0.006,0.007,0.994,0.364,NA,NA,NA,0.003226825
"OXNAD1","Lymphocyte","DEP","Wald ratio",1,0.002,0.002,1.002,0.364,NA,NA,NA,6.77e-05
"IRAK2","Lymphocyte","DEP","Wald ratio",1,0.003,0.003,1.003,0.366,NA,NA,NA,0.003637585
"ZNF808","Lymphocyte","DEP","Wald ratio",1,-0.006,0.006,0.994,0.367,NA,NA,NA,0.000245168
"CTA-126B4.7","Lymphocyte","DEP","Wald ratio",1,0.004,0.005,1.004,0.367,NA,NA,NA,0.003812961
"TIFA","Lymphocyte","DEP","Wald ratio",1,0.005,0.005,1.005,0.369,NA,NA,NA,0.003651174
"AC079630.2","Lymphocyte","DEP","Wald ratio",1,0.005,0.005,1.005,0.372,NA,NA,NA,0.003486056
"RP11-431M7.2","Lymphocyte","DEP","Wald ratio",1,-0.009,0.01,0.991,0.372,NA,NA,NA,0.001913905
"STIL","Lymphocyte","DEP","Wald ratio",1,0.006,0.007,1.006,0.373,NA,NA,NA,0.000247129
"CRELD2","Lymphocyte","DEP","Wald ratio",1,-0.005,0.005,0.995,0.373,NA,NA,NA,0.003807495
"CASS4","Lymphocyte","DEP","Wald ratio",1,0.005,0.005,1.005,0.378,NA,NA,NA,0.003746808
"KCTD1","Lymphocyte","DEP","Wald ratio",1,0.003,0.003,1.003,0.39,NA,NA,NA,8.52e-05
"CUX1","Lymphocyte","DEP","Wald ratio",1,-0.005,0.006,0.995,0.39,NA,NA,NA,0.000592916
"RP11-387D10.2","Lymphocyte","DEP","Wald ratio",1,0.007,0.008,1.007,0.391,NA,NA,NA,0.00053148
"C17orf97","Lymphocyte","DEP","Wald ratio",1,-0.004,0.004,0.996,0.399,NA,NA,NA,0.003623164
"B4GALT4","Lymphocyte","DEP","Wald ratio",1,0.002,0.003,1.002,0.4,NA,NA,NA,1.85e-05
"DNAH11","Lymphocyte","DEP","Wald ratio",1,-0.003,0.004,0.997,0.4,NA,NA,NA,0.00079994
"TMEM50B","Lymphocyte","DEP","Wald ratio",1,0.006,0.007,1.006,0.402,NA,NA,NA,0.000261261
"ABCC4","Lymphocyte","DEP","Wald ratio",1,-0.008,0.009,0.992,0.405,NA,NA,NA,0.000724084
"IL4I1","Lymphocyte","DEP","Wald ratio",1,-0.002,0.003,0.998,0.409,NA,NA,NA,0.003208593
"BCAT1","Lymphocyte","DEP","Wald ratio",1,0.004,0.004,1.004,0.409,NA,NA,NA,0.004405236
"RP1-90J20.11","Lymphocyte","DEP","Wald ratio",1,-0.004,0.005,0.996,0.411,NA,NA,NA,0.003143515
"MTFR1","Lymphocyte","DEP","Wald ratio",1,-0.008,0.01,0.992,0.412,NA,NA,NA,0.003273809
